Time,CasingPressure,FlowRate,LinePressure,StaticPressure,TubingPressure,Qmin
1443130958,556.828,908.581,290.479,280.653,224.166,105.581
1443131137,557.102,970.753,291.667,280.368,223.983,105.753
1443131321,557.377,959.436,292.489,279.296,223.708,105.436
1443131501,557.652,914.605,293.768,279.452,223.983,105.605
1443131679,557.835,872.594,294.773,278.907,223.708,105.594
1443131859,558.11,949.636,296.053,278.552,223.525,105.636
1443132038,558.385,915.383,296.875,277.9,223.25,105.383
1443132217,558.659,907.099,297.971,277.79,223.434,105.099
1443132401,558.842,905.93,299.068,277.845,223.25,104.93
1443132581,558.659,968.831,300.073,276.38,222.701,105.831
1443132760,558.751,953.641,300.987,276.947,222.975,105.641
1443132939,559.117,913.865,302.266,276.388,222.701,104.865
1443133118,559.026,947.383,303.728,275.886,222.426,105.383
1443133298,559.3,934.233,304.55,275.009,221.693,105.233
1443133477,559.392,912.399,305.555,274.647,221.235,105.399
1443133661,559.484,953.803,306.561,274.76,221.327,105.803
1443133840,559.667,904.998,307.292,273.82,221.693,104.998
1443134020,559.575,968.767,308.662,274.035,221.51,105.767
1443134199,559.667,897.712,309.942,273.737,221.235,105.712
1443134378,559.85,904.287,311.312,272.97,221.51,105.287
1443134557,560.033,953.155,312.226,272.452,221.235,105.155
1443134736,560.125,915.106,313.505,272.41,220.044,105.106
1443134921,560.308,926.515,314.419,272.273,219.586,105.515
1443135100,560.125,957.759,315.241,271.382,219.494,105.759
1443135279,560.399,986.431,316.521,271.337,219.22,105.431
1443135458,560.582,920.168,317.526,270.779,219.128,105.168
1443152917,560.857,891.442,318.713,270.11,219.494,105.442
1443153102,560.674,986.921,319.993,270.15,219.769,104.921
1443153281,560.766,1019.371,320.998,270.009,219.952,105.371
1443153460,560.857,918.138,322.003,269.441,219.494,105.138
1443153639,560.766,925.771,323.008,268.729,219.22,105.771
1443153818,561.04,944.692,324.196,268.637,218.945,105.692
1443153998,561.132,971.529,325.018,268.169,219.403,105.529
1443154177,561.224,933.863,326.298,268.044,219.22,104.863
1443154361,561.407,1007.723,327.029,268.049,218.945,105.723
1443154540,561.315,983.066,328.125,268.38,219.22,105.066
1443154720,561.407,946.832,328.947,268.314,219.128,105.832
